City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Vao,NC,80.89,few clouds,-22.6667,167.4833,Hotel Kou-Bugny
3,Filingue,NE,68.23,clear sky,14.3521,3.3168,
9,Mataura,NZ,62.47,clear sky,-46.1927,168.8643,Ellie's Villa
12,Rikitea,PF,78.78,overcast clouds,-23.1203,-134.9692,People ThankYou
14,San Carlos De Bariloche,AR,67.75,broken clouds,-41.1456,-71.3082,Hotel Patagonia
15,Kapaa,US,79.12,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
17,Sao Filipe,CV,72.46,clear sky,14.8961,-24.4956,Hotel Xaguate
20,Hermanus,ZA,62.8,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
21,Ushuaia,AR,60.46,light rain,-54.8,-68.3,Albatross Hotel
22,Itamaraca,BR,82.45,clear sky,-7.7478,-34.8256,Special K's Bed & Breakfast
23,New Norfolk,AU,74.66,broken clouds,-42.7826,147.0587,The Shingles Riverside Cottages
24,Ribeira Grande,PT,60.03,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
26,Belmonte,BR,79.3,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
27,Venice,US,64.98,clear sky,27.0998,-82.4543,A Beach Retreat On Casey Key
28,Vaini,TO,77.16,moderate rain,-21.2,-175.2,Keleti Beach Resort
31,East London,ZA,71.83,clear sky,-33.0153,27.9116,Tu Casa
32,Pacific Grove,US,65.55,clear sky,36.6177,-121.9166,Lovers Point Inn
34,Avarua,CK,77.05,overcast clouds,-21.2078,-159.775,Paradise Inn
36,Gusau,NG,66.52,clear sky,12.1628,6.6614,GUEST INN
40,Atuona,PF,78.21,clear sky,-9.8,-139.0333,Villa Enata
41,Busselton,AU,72.05,overcast clouds,-33.65,115.3333,Observatory Guest House
43,Bredasdorp,ZA,65.52,few clouds,-34.5322,20.0403,Bredasdorp Country Manor
45,Inhambane,MZ,74.75,broken clouds,-23.865,35.3833,Oceano
46,Bluff,NZ,62.8,few clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
47,Butaritari,KI,82.45,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
50,George,ZA,63.95,broken clouds,-33.963,22.4617,Protea Hotel by Marriott George King George
52,Vila Velha,BR,78.75,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
54,Los Llanos De Aridane,ES,60.55,clear sky,28.6585,-17.9182,Valle Aridane
57,Airai,TL,72.63,broken clouds,-8.9266,125.4092,
58,Carnarvon,AU,80.67,clear sky,-24.8667,113.6333,Hospitality Carnarvon
59,Calvinia,ZA,76.93,scattered clouds,-31.4707,19.776,Die Lemoenhuis
60,Georgetown,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
61,Miraflores,MX,63.01,broken clouds,19.2167,-98.8083,Hotel Mansión
63,Hithadhoo,MV,82.44,overcast clouds,-0.6,73.0833,Scoop Guest House
64,Bambous Virieux,MU,75.45,light rain,-20.3428,57.7575,Casa Tia Villa
67,Carutapera,BR,76.3,light rain,-1.195,-46.02,Lidera
68,Port Macquarie,AU,74.89,broken clouds,-31.4333,152.9167,Rydges Port Macquarie
70,Hualmay,PE,70.48,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
72,Lamu,KE,77.22,overcast clouds,-2.2717,40.902,Lamu House
74,Mahebourg,MU,75.49,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
80,Yulara,AU,85.84,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
81,Santa Maria Do Suacui,BR,68.81,overcast clouds,-18.1903,-42.4142,Hotel Vale Verde
82,Hobyo,SO,73.62,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
83,Richards Bay,ZA,69.67,few clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
84,Cabo San Lucas,MX,74.5,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
87,Nzerekore,GN,68.0,overcast clouds,7.7562,-8.8179,Hotel de la Gare & Germanho Club
88,Puerto Rondon,CO,81.39,overcast clouds,6.2805,-71.1,Urbanización Santa Clara
91,Pedasi,PA,75.07,broken clouds,7.5333,-80.0333,Selina Pedasi
92,Healdsburg,US,69.73,clear sky,38.6105,-122.8692,Best Western Dry Creek Inn
96,Ecoporanga,BR,72.63,overcast clouds,-18.3733,-40.8306,Ecoporanga - Esp. Santo - Pousada Tranquila
97,Itaporanga,BR,81.27,broken clouds,-7.3044,-38.1503,Hotel Rainha do Vale
98,Port Elizabeth,ZA,62.89,clear sky,-33.918,25.5701,39 On Nile Guest House
99,Hobart,AU,75.02,broken clouds,-42.8794,147.3294,Mantra on Collins Hobart
100,Faanui,PF,81.5,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
102,Lorengau,PG,85.12,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
103,Abeche,TD,61.5,broken clouds,13.8292,20.8324,Assaleh Hamdan Haroune
105,Sao Jose Da Coroa Grande,BR,78.04,clear sky,-8.8978,-35.1478,Crôa Mares Hotel
106,Port Alfred,ZA,70.97,few clouds,-33.5906,26.891,The Halyards Hotel
107,Amboasary,MG,78.64,overcast clouds,-25.0333,46.3833,DISCOVERY AMBOASARY
108,Lebu,CL,60.12,broken clouds,-37.6167,-73.65,Hostal Las Lilas
112,Touros,BR,81.5,clear sky,-5.1989,-35.4608,INN NEW HORIZON
117,Esperance,AU,67.84,broken clouds,-33.8667,121.9,Hospitality Esperance
125,Simbakoro,SL,64.96,overcast clouds,8.6,-11.0167,Diamond Lodge
126,Codrington,AU,85.69,clear sky,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
132,Tessalit,ML,62.53,clear sky,20.1986,1.0114,
135,Puerto Ayora,EC,72.79,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
141,Coihaique,CL,64.35,overcast clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
142,Labuhan,ID,83.16,broken clouds,-6.8844,112.2051,DoubleFAG
144,Victoria,HK,63.25,overcast clouds,22.2855,114.1577,Mini Hotel Central
145,Mabaruma,GY,73.74,broken clouds,8.2,-59.7833,Monty Brooms Guest House
146,Guerrero Negro,MX,67.55,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
150,Singkang,MY,76.89,overcast clouds,2.1006,102.7994,Kampung Seri Makmor Pagoh
151,Kaeo,NZ,76.32,overcast clouds,-35.1,173.7833,Bushido Lodge
152,Saurimo,AO,62.55,overcast clouds,-9.6608,20.3916,Hotel Kawissa Saurimo
153,Baracoa,CU,74.91,broken clouds,20.3467,-74.4958,Hostal Rio Miel
156,Sisophon,KH,86.58,broken clouds,13.5859,102.9737,Pyramid Hotel
157,Ponta Do Sol,PT,61.72,clear sky,32.6667,-17.1,Hotel do Campo
158,Souillac,MU,75.58,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
160,Marsh Harbour,BS,74.1,clear sky,26.5412,-77.0636,Abaco Beach Resort
161,Kieta,PG,84.96,light rain,-6.2167,155.6333,Uruna Bay Retreat
164,Kahului,US,82.42,few clouds,20.8947,-156.47,Maui Seaside Hotel
165,Burnie,AU,71.94,scattered clouds,-41.0667,145.9167,Beachfront Voyager Motor Inn
167,Mahibadhoo,MV,81.5,overcast clouds,3.7833,72.9667,Omadhoo Inn
168,Koungheul,SN,76.08,clear sky,13.9833,-14.8,
