City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
0,Beringovskiy,RU,63.05,179.3167,-14.64,87,6,12.59,clear sky,2022-02-08 01:36:44
1,Vao,NC,-22.6667,167.4833,80.89,85,12,17.52,few clouds,2022-02-08 01:36:45
2,Albany,US,42.6001,-73.9662,36.14,91,100,0.49,overcast clouds,2022-02-08 01:36:23
3,Filingue,NE,14.3521,3.3168,68.23,14,0,9.8,clear sky,2022-02-08 01:36:45
4,Havre-Saint-Pierre,CA,50.2334,-63.5986,15.8,85,100,8.05,overcast clouds,2022-02-08 01:36:46
5,Chapais,CA,49.7834,-74.8492,10.18,95,96,7.49,overcast clouds,2022-02-08 01:32:46
6,Tasiilaq,GL,65.6145,-37.6368,23.16,77,100,8.01,light snow,2022-02-08 01:36:47
7,Yebaishou,CN,41.3975,119.6408,26.55,38,0,3.31,clear sky,2022-02-08 01:36:47
8,Sitka,US,57.0531,-135.33,39.09,75,100,12.66,overcast clouds,2022-02-08 01:36:48
9,Mataura,NZ,-46.1927,168.8643,62.47,33,0,1.59,clear sky,2022-02-08 01:36:49
10,Fortuna,US,40.5982,-124.1573,55.42,86,0,11.5,clear sky,2022-02-08 01:36:49
11,Dikson,RU,73.5069,80.5464,6.35,88,100,25.55,overcast clouds,2022-02-08 01:36:50
12,Rikitea,PF,-23.1203,-134.9692,78.78,75,97,13.49,overcast clouds,2022-02-08 01:36:51
13,Jamestown,US,42.097,-79.2353,30.29,67,100,9.22,mist,2022-02-08 01:32:48
14,San Carlos De Bariloche,AR,-41.1456,-71.3082,67.75,26,75,18.41,broken clouds,2022-02-08 01:36:54
15,Kapaa,US,22.0752,-159.319,79.12,69,75,12.66,broken clouds,2022-02-08 01:36:54
16,Thompson,CA,55.7435,-97.8558,17.76,86,75,4.61,broken clouds,2022-02-08 01:36:55
17,Sao Filipe,CV,14.8961,-24.4956,72.46,75,5,5.03,clear sky,2022-02-08 01:36:55
18,San Patricio,US,28.017,-97.5169,59.94,53,6,9.51,clear sky,2022-02-08 01:36:56
19,Tuktoyaktuk,CA,69.4541,-133.0374,-34.6,67,20,6.91,few clouds,2022-02-08 01:36:57
20,Hermanus,ZA,-34.4187,19.2345,62.8,94,2,4.52,clear sky,2022-02-08 01:36:58
21,Ushuaia,AR,-54.8,-68.3,60.46,67,100,8.05,light rain,2022-02-08 01:36:58
22,Itamaraca,BR,-7.7478,-34.8256,82.45,71,3,7.99,clear sky,2022-02-08 01:36:59
23,New Norfolk,AU,-42.7826,147.0587,74.66,32,73,6.69,broken clouds,2022-02-08 01:36:59
24,Ribeira Grande,PT,38.5167,-28.7,60.03,71,99,8.88,overcast clouds,2022-02-08 01:37:00
25,Bronnoysund,NO,65.4625,12.1997,35.6,75,75,24.16,light snow,2022-02-08 01:37:01
26,Belmonte,BR,-15.8631,-38.8828,79.3,82,88,5.12,overcast clouds,2022-02-08 01:37:01
27,Venice,US,27.0998,-82.4543,64.98,88,0,11.5,clear sky,2022-02-08 01:32:46
28,Vaini,TO,-21.2,-175.2,77.16,94,100,10.36,moderate rain,2022-02-08 01:37:02
29,Zalesovo,RU,53.9939,84.7431,-9.54,100,64,3.09,broken clouds,2022-02-08 01:37:03
30,Cortez,US,37.3489,-108.5859,34.57,43,0,4.61,clear sky,2022-02-08 01:37:03
31,East London,ZA,-33.0153,27.9116,71.83,86,1,8.46,clear sky,2022-02-08 01:35:15
32,Pacific Grove,US,36.6177,-121.9166,65.55,82,0,3.44,clear sky,2022-02-08 01:33:28
33,Beckley,US,37.7782,-81.1882,37.89,60,0,4.61,clear sky,2022-02-08 01:33:18
34,Avarua,CK,-21.2078,-159.775,77.05,94,100,5.75,overcast clouds,2022-02-08 01:37:06
35,Punta Arenas,CL,-53.15,-70.9167,51.91,93,100,6.91,moderate rain,2022-02-08 01:37:07
36,Gusau,NG,12.1628,6.6614,66.52,17,10,9.46,clear sky,2022-02-08 01:37:07
37,Narsaq,GL,60.9167,-46.05,8.82,59,93,16.53,overcast clouds,2022-02-08 01:37:08
38,Xingcheng,CN,40.6167,120.7167,24.58,64,2,2.84,clear sky,2022-02-08 01:37:08
39,Qaanaaq,GL,77.484,-69.3632,-4.41,56,100,5.5,overcast clouds,2022-02-08 01:37:09
40,Atuona,PF,-9.8,-139.0333,78.21,75,4,16.04,clear sky,2022-02-08 01:37:09
41,Busselton,AU,-33.65,115.3333,72.05,63,89,6.6,overcast clouds,2022-02-08 01:37:10
42,Marquette,US,46.5333,-87.6335,13.44,82,70,3.27,broken clouds,2022-02-08 01:37:11
43,Bredasdorp,ZA,-34.5322,20.0403,65.52,88,12,3.44,few clouds,2022-02-08 01:34:13
44,Yellowknife,CA,62.456,-114.3525,-1.59,87,100,19.57,light snow,2022-02-08 01:37:11
45,Inhambane,MZ,-23.865,35.3833,74.75,87,56,10.22,broken clouds,2022-02-08 01:37:14
46,Bluff,NZ,-46.6,168.3333,62.8,75,21,13.94,few clouds,2022-02-08 01:37:14
47,Butaritari,KI,3.0707,172.7902,82.45,76,92,17.22,overcast clouds,2022-02-08 01:37:15
48,Khatanga,RU,71.9667,102.5,-12.21,94,100,11.48,overcast clouds,2022-02-08 01:37:16
49,Necochea,AR,-38.5473,-58.7368,58.03,82,0,7.38,clear sky,2022-02-08 01:37:16
50,George,ZA,-33.963,22.4617,63.95,100,75,2.3,broken clouds,2022-02-08 01:37:17
51,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,28.99,74,75,6.71,broken clouds,2022-02-08 01:37:19
52,Vila Velha,BR,-20.3297,-40.2925,78.75,87,40,6.91,scattered clouds,2022-02-08 01:37:20
53,Mizdah,LY,31.4451,12.9801,49.06,74,11,4.29,few clouds,2022-02-08 01:37:20
54,Los Llanos De Aridane,ES,28.6585,-17.9182,60.55,77,0,11.5,clear sky,2022-02-08 01:37:21
55,Port Hawkesbury,CA,45.6169,-61.3485,33.39,98,100,5.75,fog,2022-02-08 01:37:21
56,Selenduma,RU,50.9131,106.2406,7.52,90,99,2.51,overcast clouds,2022-02-08 01:37:22
57,Airai,TL,-8.9266,125.4092,72.63,69,57,1.74,broken clouds,2022-02-08 01:37:24
58,Carnarvon,AU,-24.8667,113.6333,80.67,34,0,17.27,clear sky,2022-02-08 01:37:24
59,Calvinia,ZA,-31.4707,19.776,76.93,32,43,2.66,scattered clouds,2022-02-08 01:37:26
60,Georgetown,MY,5.4112,100.3354,82.33,90,20,5.01,few clouds,2022-02-08 01:37:26
61,Miraflores,MX,19.2167,-98.8083,63.01,62,69,1.07,broken clouds,2022-02-08 01:37:27
62,Barrow,US,71.2906,-156.7887,-27.38,62,0,6.91,haze,2022-02-08 01:37:28
63,Hithadhoo,MV,-0.6,73.0833,82.44,68,88,12.21,overcast clouds,2022-02-08 01:37:28
64,Bambous Virieux,MU,-20.3428,57.7575,75.45,94,75,4.61,light rain,2022-02-08 01:37:29
65,Sisimiut,GL,66.9395,-53.6735,-8.95,95,100,8.14,overcast clouds,2022-02-08 01:37:30
66,Vestmannaeyjar,IS,63.4427,-20.2734,29.91,79,100,47.33,snow,2022-02-08 01:37:30
67,Carutapera,BR,-1.195,-46.02,76.3,91,37,4.65,light rain,2022-02-08 01:37:31
68,Port Macquarie,AU,-31.4333,152.9167,74.89,57,62,6.58,broken clouds,2022-02-08 01:37:32
69,Outlook,CA,51.5001,-107.0513,38.89,83,99,16.49,overcast clouds,2022-02-08 01:37:32
70,Hualmay,PE,-11.0964,-77.6139,70.48,80,100,6.89,overcast clouds,2022-02-08 01:37:33
71,Upernavik,GL,72.7868,-56.1549,-9.94,93,100,14.18,overcast clouds,2022-02-08 01:37:33
72,Lamu,KE,-2.2717,40.902,77.22,88,95,10.89,overcast clouds,2022-02-08 01:37:34
73,Svetlogorsk,BY,52.6333,29.7333,31.14,92,100,5.66,overcast clouds,2022-02-08 01:37:35
74,Mahebourg,MU,-20.4081,57.7,75.49,94,75,4.61,broken clouds,2022-02-08 01:37:35
75,Nikolskoye,RU,59.7035,30.7861,33.69,99,98,0.89,light snow,2022-02-08 01:37:36
76,Borogontsy,RU,62.6683,131.1683,-23.4,96,99,1.36,overcast clouds,2022-02-08 01:37:36
77,Mednogorsk,RU,51.4128,57.595,17.01,96,100,4.72,light snow,2022-02-08 01:37:38
78,Severo-Kurilsk,RU,50.6789,156.125,32.76,86,37,7.56,scattered clouds,2022-02-08 01:37:39
79,Ilulissat,GL,69.2167,-51.1,6.82,66,75,16.11,light shower snow,2022-02-08 01:37:39
80,Yulara,AU,-25.2406,130.9889,85.84,54,100,10.36,overcast clouds,2022-02-08 01:37:42
81,Santa Maria Do Suacui,BR,-18.1903,-42.4142,68.81,95,100,2.35,overcast clouds,2022-02-08 01:37:43
82,Hobyo,SO,5.3505,48.5268,73.62,73,7,14.72,clear sky,2022-02-08 01:37:44
83,Richards Bay,ZA,-28.783,32.0377,69.67,89,16,4.65,few clouds,2022-02-08 01:37:44
84,Cabo San Lucas,MX,22.8909,-109.9124,74.5,56,0,3.44,clear sky,2022-02-08 01:37:45
85,Nome,US,64.5011,-165.4064,-7.53,54,0,17.27,clear sky,2022-02-08 01:33:17
86,Merin,CZ,49.3932,15.8838,35.76,55,97,19.35,overcast clouds,2022-02-08 01:37:46
87,Nzerekore,GN,7.7562,-8.8179,68.0,61,97,1.77,overcast clouds,2022-02-08 01:37:47
88,Puerto Rondon,CO,6.2805,-71.1,81.39,53,91,4.63,overcast clouds,2022-02-08 01:37:47
89,Kushima,JP,31.4583,131.2333,42.84,87,97,7.27,overcast clouds,2022-02-08 01:37:48
90,Avera,US,33.194,-82.5271,44.47,78,100,4.83,overcast clouds,2022-02-08 01:37:48
91,Pedasi,PA,7.5333,-80.0333,75.07,73,80,15.55,broken clouds,2022-02-08 01:37:48
92,Healdsburg,US,38.6105,-122.8692,69.73,63,0,6.91,clear sky,2022-02-08 01:37:49
93,Ardakan,IR,32.31,54.0175,35.98,39,0,0.47,clear sky,2022-02-08 01:37:50
94,Klaksvik,FO,62.2266,-6.589,34.72,63,97,39.77,overcast clouds,2022-02-08 01:37:50
95,Nagornskiy,RU,58.7731,57.5451,0.34,93,98,4.63,overcast clouds,2022-02-08 01:37:52
96,Ecoporanga,BR,-18.3733,-40.8306,72.63,96,100,2.86,overcast clouds,2022-02-08 01:37:54
97,Itaporanga,BR,-7.3044,-38.1503,81.27,53,66,1.32,broken clouds,2022-02-08 01:37:55
98,Port Elizabeth,ZA,-33.918,25.5701,62.89,94,0,8.05,clear sky,2022-02-08 01:37:55
99,Hobart,AU,-42.8794,147.3294,75.02,50,75,9.22,broken clouds,2022-02-08 01:37:56
100,Faanui,PF,-16.4833,-151.75,81.5,77,100,18.03,light rain,2022-02-08 01:37:56
101,Nanortalik,GL,60.1432,-45.2371,10.31,69,100,50.94,overcast clouds,2022-02-08 01:37:57
102,Lorengau,PG,-2.0226,147.2712,85.12,71,93,8.05,overcast clouds,2022-02-08 01:37:58
103,Abeche,TD,13.8292,20.8324,61.5,16,60,13.38,broken clouds,2022-02-08 01:37:58
104,Svetlyy,RU,54.675,20.1347,37.45,81,34,14.0,scattered clouds,2022-02-08 01:37:59
105,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,78.04,76,9,6.38,clear sky,2022-02-08 01:38:00
